Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ADGRA3	FLJ38547, GPR125, PGR21	ENSG00000152990	Adhesion G protein-coupled receptor A3	4	22345071-22516054	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008904	Uncertain					Expressed in all	Expressed in all			thyroid gland: 42.5	Mixed		
ADGRB2	BAI2	ENSG00000121753	Adhesion G protein-coupled receptor B2	1	31727117-31764893	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA052612, HPA054617			Supported	Centrosome	Lung cancer:4.02e-5 (unfavourable), Breast cancer:6.46e-4 (favourable)	Tissue enhanced	Tissue enriched	14	cerebral cortex: 72.3	adrenal gland: 5.1	Cell line enhanced		SH-SY5Y: 26.4;T-47d: 27.3;U-2 OS: 28.9
ADGRE3	EMR3	ENSG00000131355	Adhesion G protein-coupled receptor E3	19	14619117-14690027	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA015638	Uncertain					Not detected	Tissue enhanced		appendix: 8.7;spleen: 8.6	lung: 3.9	Cell line enriched	50	HMC-1: 39.7
ADGRE5	CD97, TM7LN1	ENSG00000123146	Adhesion G protein-coupled receptor E5	19	14380501-14408725	CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA013707	Enhanced		Approved	Cytosol	Renal cancer:1.87e-6 (unfavourable), Liver cancer:3.73e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 140.3	Mixed		
ADGRF1	GPR110, hGPCR36, PGR19	ENSG00000153292	Adhesion G protein-coupled receptor F1	6	46997703-47042363	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038438	Approved				Renal cancer:1.35e-5 (favourable)	Mixed	Tissue enhanced		esophagus: 14.6;kidney: 17.6;urinary bladder: 18.9	gallbladder: 9.4	Group enriched	9	A-431: 27.0;CAPAN-2: 99.3;HaCaT: 22.4;PC-3: 33.9;RPTEC TERT1: 38.6;RT4: 104.1
ADGRG1	GPR56, TM7LN4, TM7XN1	ENSG00000205336	Adhesion G protein-coupled receptor G1	16	57610652-57665580	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046065	Uncertain				Renal cancer:5.52e-7 (favourable), Head and neck cancer:2.53e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 349.0	Cell line enhanced		SK-MEL-30: 229.9
ADGRG5	GPR114, PGR27	ENSG00000159618	Adhesion G protein-coupled receptor G5	16	57542421-57591681	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007133	Enhanced		Approved	Nucleoplasm<br>Nuclear membrane<br>Vesicles	Cervical cancer:4.25e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 11.2;tonsil: 8.8	appendix,spleen: 5.9	Cell line enriched	8	HMC-1: 31.8
ADGRG6	FLJ14937, GPR126	ENSG00000112414	Adhesion G protein-coupled receptor G6	6	142301854-142446266	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017346	Approved				Pancreatic cancer:2.78e-5 (unfavourable), Lung cancer:8.78e-4 (unfavourable)	Mixed	Tissue enhanced		placenta: 67.2	liver: 36.9	Cell line enhanced		HUVEC TERT2: 133.3;MCF7: 118.0
ADGRV1	DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1	ENSG00000164199	Adhesion G protein-coupled receptor V1	5	90529344-91164437	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA067503	Approved		Approved	Lipid droplets		Mixed	Tissue enriched	11	adrenal gland: 261.4	kidney: 22.9	Cell line enhanced		AF22: 15.3;HAP1: 23.8;NTERA-2: 11.7;SCLC-21H: 13.1
ADI1	APL1, ARD, FLJ10913, HMFT1638, MTCBP-1, mtnD, SIPL	ENSG00000182551	Acireductone dioxygenase 1	2	3497361-3519736	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA035403, HPA035404	Approved		Supported	Nucleoplasm<br>Golgi apparatus		Expressed in all	Expressed in all			liver: 228.3	Expressed in all		
ADIG	MGC39724, RP5-1100H13.2, SMAF1	ENSG00000182035	Adipogenin	20	38581195-38588463	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA041124	Uncertain					Tissue enhanced	Group enriched	10	epididymis: 5.1;testis: 16.1;thyroid gland: 3.4	seminal vesicle: 0.8	Not detected		
ADIPOQ	ACDC, ACRP30, adiponectin, AdipoQ, apM1, GBP28	ENSG00000181092	Adiponectin, C1Q and collagen domain containing	3	186842690-186858463	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB046467, HPA051767	Uncertain					Group enriched	Tissue enriched	17	adipose tissue: 937.7	breast: 56.0	Cell line enriched	475	ASC diff: 213.8
ADM	AM	ENSG00000148926	Adrenomedullin	11	10304680-10307397	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016075	Approved				Renal cancer:6.33e-4 (unfavourable), Liver cancer:7.56e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 158.5	Cell line enhanced		ASC diff: 519.0;U-138 MG: 397.2
ADM2	AM2, FLJ21135	ENSG00000128165	Adrenomedullin 2	22	50481556-50486440	Predicted secreted proteins	Evidence at transcript level						Thyroid cancer:2.72e-4 (unfavourable)	Mixed	Tissue enhanced		thyroid gland: 19.2	kidney: 5.8	Cell line enhanced		HHSteC: 30.8;Karpas-707: 27.1
ADM5	AM5, C19orf76	ENSG00000224420	Adrenomedullin 5 (putative)	19	49688664-49690575	Predicted secreted proteins	Evidence at transcript level						Urothelial cancer:6.74e-4 (favourable)	Mixed	Mixed			skin: 2.6	Mixed		
ADPGK	ADP-GK, DKFZp434B195	ENSG00000159322	ADP dependent glucokinase	15	72751369-72785846	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045194, HPA058525	Approved		Approved	Centrosome	Renal cancer:4.52e-7 (unfavourable), Prostate cancer:2.22e-4 (unfavourable)	Expressed in all	Mixed			lung: 25.1	Expressed in all		
AEBP1	ACLP	ENSG00000106624	AE binding protein 1	7	44104361-44114562	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB009966, HPA047724, HPA063595, HPA064970	Enhanced		Supported	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:9.31e-9 (unfavourable), Glioma:1.10e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 300.4	Cell line enhanced		BJ: 163.5;fHDF/TERT166: 162.3;WM-115: 116.5
AFM	ALB2, ALBA	ENSG00000079557	Afamin	4	73481683-73504001	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA017006, HPA052437	Enhanced				Liver cancer:1.80e-4 (favourable)	Tissue enriched	Tissue enriched	6	liver: 468.3	kidney: 80.9	Cell line enriched	6	CACO-2: 1.3
AFP	FETA, HPAFP	ENSG00000081051	Alpha fetoprotein	4	73431138-73456174	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA010607, HPA023600, CAB024283, CAB025339	Approved		Uncertain	Cytosol		Group enriched	Tissue enhanced		liver: 1.9	breast: 0.5	Cell line enriched	158	Hep G2: 1466.5
AGA	ASRG	ENSG00000038002	Aspartylglucosaminidase	4	177430770-177442503	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA031415, HPA031417	Enhanced				Liver cancer:1.99e-4 (unfavourable), Head and neck cancer:8.61e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 35.3	Expressed in all		
AGER	RAGE, SCARJ1	ENSG00000204305	Advanced glycosylation end-product specific receptor	6	32180968-32184324	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB011682, HPA064436	Enhanced		Approved	Nucleoli fibrillar center<br>Plasma membrane<br>Cell Junctions	Renal cancer:9.01e-7 (unfavourable), Urothelial cancer:2.74e-6 (favourable), Pancreatic cancer:3.41e-4 (favourable)	Expressed in all	Tissue enriched	181	lung: 889.2	thyroid gland: 4.9	Cell line enhanced		HEK 293: 2.5;U-266/70: 2.6
AGR2	AG2, HAG-2, PDIA17, XAG-2	ENSG00000106541	Anterior gradient 2, protein disulphide isomerase family member	7	16791811-16833433	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007912	Enhanced		Approved	Cytosol	Renal cancer:8.79e-5 (unfavourable), Liver cancer:1.15e-4 (unfavourable)	Mixed	Tissue enhanced		rectum: 1322.0;stomach: 1307.3	cervix, uterine: 939.5	Cell line enhanced		A549: 239.4;RPTEC TERT1: 465.3;RT4: 298.0;T-47d: 1243.5
AGR3	BCMP11, hAG-3, HAG3, PDIA18	ENSG00000173467	Anterior gradient 3, protein disulphide isomerase family member	7	16859405-16881987	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA053942	Enhanced		Supported	Endoplasmic reticulum<br>Vesicles		Tissue enhanced	Tissue enhanced		fallopian tube: 354.7;small intestine: 259.5	rectum: 233.8	Cell line enriched	52	T-47d: 316.6
AGRN	AGRIN	ENSG00000188157	Agrin	1	1020123-1056118	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA040090	Approved		Supported	Plasma membrane<br>Cytosol	Liver cancer:4.62e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 33.2	Cell line enhanced		EFO-21: 223.9
AGRP	Agrt, ART, ASIP2	ENSG00000159723	Agouti related neuropeptide	16	67482571-67483813	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA041017	Uncertain	Supported				Mixed	Group enriched	5	adrenal gland: 5.8;epididymis: 24.7	lung: 3.0	Not detected		
AGT	SERPINA8	ENSG00000135744	Angiotensinogen	1	230702523-230714297	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA001557, CAB025798	Supported					Group enriched	Tissue enhanced		cerebral cortex: 226.5;liver: 649.6	gallbladder: 133.7	Cell line enhanced		CACO-2: 60.4;Hep G2: 401.1;THP-1: 150.6
AGTRAP	ATRAP	ENSG00000177674	Angiotensin II receptor associated protein	1	11736084-11754802	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044120	Approved		Supported	Vesicles	Liver cancer:6.57e-7 (unfavourable)	Expressed in all	Expressed in all			prostate: 92.6	Expressed in all		
AHCYL2	KIAA0828	ENSG00000158467	Adenosylhomocysteinase like 2	7	129225023-129430211	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA053128	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.08e-7 (favourable), Head and neck cancer:4.17e-4 (favourable)	Expressed in all	Expressed in all			rectum: 194.5	Cell line enriched	9	HDLM-2: 218.4
AHSG	A2HS, FETUA, HSGA	ENSG00000145192	Alpha 2-HS glycoprotein	3	186612923-186621318	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA001524, HPA001525, CAB026209	Enhanced		Supported	Golgi apparatus		Tissue enriched	Tissue enriched	1903	liver: 2823.4	testis: 1.4	Cell line enriched	64	Hep G2: 1410.0
AIG1	AIG-1, dJ95L4.1, FLJ10485	ENSG00000146416	Androgen induced 1	6	143060496-143340304	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA060766	Approved		Approved	Golgi apparatus	Head and neck cancer:3.25e-7 (unfavourable), Cervical cancer:3.26e-6 (unfavourable), Endometrial cancer:3.06e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 153.1	Expressed in all		
AKAP10	D-AKAP2, MGC9414, PRKA10	ENSG00000108599	A-kinase anchoring protein 10	17	19904302-19978343	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA028901	Approved		Supported	Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			testis: 26.2	Expressed in all		
ALAS2	ASB	ENSG00000158578	5'-aminolevulinate synthase 2	X	55009055-55031064	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001638	Approved					Mixed	Tissue enriched	7	bone marrow: 335.6	placenta: 51.0	Group enriched	173	HEL: 42.0;K-562: 61.5
ALB		ENSG00000163631	Albumin	4	73397114-73421412	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB006262, HPA031024, HPA031025	Supported		Enhanced	Endoplasmic reticulum<br>Golgi apparatus	Stomach cancer:7.87e-4 (unfavourable)	Tissue enriched	Tissue enriched	220	liver: 105947.0	kidney: 482.5	Cell line enriched	33	Hep G2: 3030.6
ALG1	CDG1K, HMAT1, HMT-1, Mat-1	ENSG00000033011	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	16	5033960-5087379	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA060392	Approved		Approved	Nucleoli fibrillar center<br>Endoplasmic reticulum	Colorectal cancer:5.79e-4 (favourable), Testis cancer:6.93e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 33.4	Expressed in all		
ALG9	DIBD1	ENSG00000086848	ALG9, alpha-1,2-mannosyltransferase	11	111782195-111871581	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038575	Approved		Approved	Endoplasmic reticulum	Renal cancer:7.29e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 25.8	Expressed in all		
ALKAL1	AUGB, FAM150A, UNQ9433	ENSG00000196711	ALK and LTK ligand 1	8	52534037-52565507	Predicted secreted proteins	Evidence at protein level	HPA027368	Uncertain					Mixed	Tissue enhanced		gallbladder: 3.5;thyroid gland: 3.6	cervix, uterine: 1.7	Cell line enhanced		CAPAN-2: 1.1
ALKAL2	AUGA, FAM150B	ENSG00000189292	ALK and LTK ligand 2	2	279558-288851	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		adrenal gland: 257.4	ovary: 83.0	Cell line enriched	22	AF22: 137.0
ALPI		ENSG00000163295	Alkaline phosphatase, intestinal	2	232456123-232460032	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA038764, HPA038765, HPA051699	Supported		Approved	Plasma membrane		Tissue enhanced	Group enriched	31	duodenum: 203.2;small intestine: 212.1	colon: 6.6	Cell line enriched	10	CACO-2: 5.9
ALPL	HOPS, TNSALP	ENSG00000162551	Alkaline phosphatase, liver/bone/kidney	1	21509372-21578412	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007105, HPA008765, CAB020829	Enhanced		Approved	Cytosol	Melanoma:7.08e-4 (unfavourable)	Expressed in all	Tissue enhanced		lung: 78.8	kidney: 47.2	Group enriched	8	HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8
ALPP		ENSG00000163283	Alkaline phosphatase, placental	2	232378534-232382889	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB026327, HPA038764, HPA038765, HPA051699	Enhanced		Approved	Plasma membrane	Pancreatic cancer:4.33e-4 (unfavourable)	Tissue enhanced	Group enriched	14	cervix, uterine: 25.5;placenta: 45.5	fallopian tube: 2.5	Group enriched	6	HaCaT: 311.4;SiHa: 103.4
ALPPL2		ENSG00000163286	Alkaline phosphatase, placental like 2	2	232406843-232410714	Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB020698, HPA038764, HPA038765, HPA051699	Supported		Approved	Plasma membrane		Tissue enhanced	Tissue enhanced		fallopian tube: 1.5	lung: 0.7	Group enriched	29	BEWO: 6.5;CAPAN-2: 29.9;HaCaT: 22.2
AMBN		ENSG00000178522	Ameloblastin	4	70592256-70607288	Disease related genes, Predicted secreted proteins	Evidence at protein level							Group enriched	Not detected			cerebral cortex: 0.3	Cell line enriched	9	HEK 293: 6.2
AMBP	EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	ENSG00000106927	Alpha-1-microglobulin/bikunin precursor	9	114060127-114078472	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001497, CAB069436	Approved				Endometrial cancer:1.20e-4 (favourable)	Tissue enriched	Tissue enriched	23	liver: 5176.2	gallbladder: 230.0	Cell line enriched	113	Hep G2: 861.2
AMELX	AIH1, AMG	ENSG00000125363	Amelogenin, X-linked	X	11293413-11300761	Disease related genes, Predicted secreted proteins	Evidence at protein level							Tissue enhanced	Not detected			epididymis: 0.4	Not detected		
AMELY	AMGL	ENSG00000099721	Amelogenin, Y-linked	Y	6865918-6874027	Predicted secreted proteins	Evidence at transcript level							Not detected	Not detected			thyroid gland: 0.2	Not detected		
AMH	MIS	ENSG00000104899	Anti-Mullerian hormone	19	2249309-2252073	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA066973			Approved	Vesicles<br>Aggresome	Colorectal cancer:9.21e-5 (unfavourable)	Mixed	Tissue enriched	6	testis: 1.6	cerebral cortex: 0.2	Cell line enhanced		HEK 293: 15.7;NTERA-2: 6.5;REH: 6.4;SH-SY5Y: 8.2
AMTN	RSTI689, UNQ689	ENSG00000187689	Amelotin	4	70518540-70532742	Predicted secreted proteins	Evidence at protein level	HPA036136, HPA036137	Uncertain					Group enriched	Tissue enhanced		stomach: 6.9;tonsil: 24.9	prostate: 3.3	Cell line enhanced		hTERT-HME1: 3.4;MCF7: 2.6
AMY1A	AMY1	ENSG00000237763	Amylase, alpha 1A (salivary)	1	103655290-103664554	Enzymes, Predicted secreted proteins	Evidence at protein level	CAB004310, HPA045394, HPA045399, HPA046980	Supported					Not detected	Tissue enriched	79	salivary gland: 8875.9	cervix, uterine: 111.7	Not detected		
AMY1B	AMY1	ENSG00000174876	Amylase, alpha 1B (salivary)	1	103687415-103696680	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA045394, HPA045399, HPA046980	Supported					Tissue enhanced	Tissue enriched	15	salivary gland: 1841.0	cervix, uterine: 126.4	Not detected		
AMY1C	AMY1	ENSG00000187733	Amylase, alpha 1C (salivary)	1	103750406-103758690	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA045394, HPA045399, HPA046980	Supported					Not detected	Tissue enhanced		cervix, uterine: 33.0;salivary gland: 101.8	pancreas: 26.4	Not detected		
AMY2A	AMY2	ENSG00000243480	Amylase, alpha 2A (pancreatic)	1	103616811-103625780	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA045394, HPA045399, CAB045960, HPA046980	Enhanced					Tissue enriched	Tissue enriched	313	pancreas: 31329.4	ovary: 99.9	Not detected		
