"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"AIG1",15,"B1","IOH14045",717,"NP_057192.1","NP_057192.2","androgen-induced 1 (AIG1), mRNA.","NM_016108.2","NP_057192.2",51390,"Hs.567501","AIG-1, dJ95L4.1, FLJ10485","ENSG00000146416","Androgen induced 1","6","143060496-143340304","Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA060766","Approved",NA,"Approved","Golgi apparatus","Head and neck cancer:3.25e-7 (unfavourable), Cervical cancer:3.26e-6 (unfavourable), Endometrial cancer:3.06e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"liver: 153.1","Expressed in all",NA,NA
"AKAP10",1,"E10","IOH10972",1989,"0",NA,"A kinase (PRKA) anchor protein 10 (AKAP10), nuclear gene encoding mitochondrial protein, mRNA.","NM_007202.2","NP_009133.2",11216,"Hs.708043","D-AKAP2, MGC9414, PRKA10","ENSG00000108599","A-kinase anchoring protein 10","17","19904302-19978343","Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA028901","Approved",NA,"Supported","Plasma membrane<br>Cytosol",NA,"Expressed in all","Expressed in all",NA,NA,"testis: 26.2","Expressed in all",NA,NA
"ALB",61,"C3","IOH27981",1254,"0",NA,"albumin, mRNA (cDNA clone MGC:32888 IMAGE:4766983), complete cds","BC041789.1","AAH41789.1",213,"Hs.418167",NA,"ENSG00000163631","Albumin","4","73397114-73421412","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB006262, HPA031024, HPA031025","Supported",NA,"Enhanced","Endoplasmic reticulum<br>Golgi apparatus","Stomach cancer:7.87e-4 (unfavourable)","Tissue enriched","Tissue enriched",220,"liver: 105947.0","kidney: 482.5","Cell line enriched",33,"Hep G2: 3030.6"
"ALB",61,"B2","IOH27974",1191,"0",NA,"albumin, mRNA (cDNA clone MGC:32581 IMAGE:4714468), complete cds","BC035969.1","AAH35969.1",213,"Hs.418167",NA,"ENSG00000163631","Albumin","4","73397114-73421412","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB006262, HPA031024, HPA031025","Supported",NA,"Enhanced","Endoplasmic reticulum<br>Golgi apparatus","Stomach cancer:7.87e-4 (unfavourable)","Tissue enriched","Tissue enriched",220,"liver: 105947.0","kidney: 482.5","Cell line enriched",33,"Hep G2: 3030.6"
"ALB",39,"B12","IOH23065",1830,"0",NA,"albumin (ALB), mRNA.","NM_000477.5","NP_000468.1",213,"Hs.418167",NA,"ENSG00000163631","Albumin","4","73397114-73421412","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB006262, HPA031024, HPA031025","Supported",NA,"Enhanced","Endoplasmic reticulum<br>Golgi apparatus","Stomach cancer:7.87e-4 (unfavourable)","Tissue enriched","Tissue enriched",220,"liver: 105947.0","kidney: 482.5","Cell line enriched",33,"Hep G2: 3030.6"
"ALG1",131,"F4","IOH55307",1395,"0",NA,"asparagine-linked glycosylation 1, beta-1,4-mannosyltransferase homolog (S. cerevisiae) (ALG1), mRNA.","NM_019109.4","NP_061982.3",56052,"Hs.592086","CDG1K, HMAT1, HMT-1, Mat-1","ENSG00000033011","ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase","16","5033960-5087379","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA060392","Approved",NA,"Approved","Nucleoli fibrillar center<br>Endoplasmic reticulum","Colorectal cancer:5.79e-4 (favourable), Testis cancer:6.93e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 33.4","Expressed in all",NA,NA
"ALG1",54,"G9","IOH27228",1395,"0",NA,"asparagine-linked glycosylation 1, beta-1,4-mannosyltransferase homolog (S. cerevisiae), mRNA (cDNA clone MGC:33924 IMAGE:5276692), complete cds","BC031095.1","AAH31095.1",56052,"Hs.592086","CDG1K, HMAT1, HMT-1, Mat-1","ENSG00000033011","ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase","16","5033960-5087379","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA060392","Approved",NA,"Approved","Nucleoli fibrillar center<br>Endoplasmic reticulum","Colorectal cancer:5.79e-4 (favourable), Testis cancer:6.93e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 33.4","Expressed in all",NA,NA
"ALG9",8,"G5","IOH13444",1857,"0",NA,"asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog (S. cerevisiae) (ALG9), transcript variant 1, mRNA.","NM_024740.2","NP_079016.2",79796,"Hs.503850","DIBD1","ENSG00000086848","ALG9, alpha-1,2-mannosyltransferase","11","111782195-111871581","Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA038575","Approved",NA,"Approved","Endoplasmic reticulum","Renal cancer:7.29e-5 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"testis: 25.8","Expressed in all",NA,NA
"ALPL",2,"A11","IOH14614",1575,"0",NA,"alkaline phosphatase, liver/bone/kidney (ALPL), transcript variant 1, mRNA.","NM_000478.3","NP_000469.3",249,"Hs.75431","HOPS, TNSALP","ENSG00000162551","Alkaline phosphatase, liver/bone/kidney","1","21509372-21578412","Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007105, HPA008765, CAB020829","Enhanced",NA,"Approved","Cytosol","Melanoma:7.08e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"lung: 78.8","kidney: 47.2","Group enriched",8,"HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8"
"ALPP",155,"H3","IOH62504",1608,"0",NA,"alkaline phosphatase, placental (Regan isozyme) (ALPP), mRNA.","NM_001632.3","NP_001623.3",250,"Hs.284255",NA,"ENSG00000163283","Alkaline phosphatase, placental","2","232378534-232382889","Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB026327, HPA038764, HPA038765, HPA051699","Enhanced",NA,"Approved","Plasma membrane","Pancreatic cancer:4.33e-4 (unfavourable)","Tissue enhanced","Group enriched",14,"cervix, uterine: 25.5;placenta: 45.5","fallopian tube: 2.5","Group enriched",6,"HaCaT: 311.4;SiHa: 103.4"
"ALPPL2",76,"C7","IOH12169",1599,"0",NA,"alkaline phosphatase, placental-like 2, mRNA (cDNA clone MGC:20678 IMAGE:4652865), complete cds","BC014139.2","AAH14139.1",251,"Hs.333509",NA,"ENSG00000163286","Alkaline phosphatase, placental like 2","2","232406843-232410714","Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB020698, HPA038764, HPA038765, HPA051699","Supported",NA,"Approved","Plasma membrane",NA,"Tissue enhanced","Tissue enhanced",NA,"fallopian tube: 1.5","lung: 0.7","Group enriched",29,"BEWO: 6.5;CAPAN-2: 29.9;HaCaT: 22.2"
"AMBN",101,"E5","IOH37726",1344,"0",NA,"ameloblastin (enamel matrix protein) (AMBN), mRNA.","NM_016519.4","NP_057603.1",258,"Hs.272396",NA,"ENSG00000178522","Ameloblastin","4","70592256-70607288","Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Group enriched","Not detected",NA,NA,"cerebral cortex: 0.3","Cell line enriched",9,"HEK 293: 6.2"
"AMBP",60,"G11","IOH28015",1059,"0",NA,"alpha-1-microglobulin/bikunin precursor (AMBP), mRNA.","NM_001633.3","NP_001624.1",259,"Hs.436911","EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI","ENSG00000106927","Alpha-1-microglobulin/bikunin precursor","9","114060127-114078472","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA001497, CAB069436","Approved",NA,NA,NA,"Endometrial cancer:1.20e-4 (favourable)","Tissue enriched","Tissue enriched",23,"liver: 5176.2","gallbladder: 230.0","Cell line enriched",113,"Hep G2: 861.2"
"AMELX",103,"E3","IOH35187",576,"0",NA,"amelogenin (amelogenesis imperfecta 1, X-linked) (AMELX), transcript variant 1, mRNA.","NM_001142.2","NP_001133.1",265,"Hs.654436","AIH1, AMG","ENSG00000125363","Amelogenin, X-linked","X","11293413-11300761","Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Tissue enhanced","Not detected",NA,NA,"epididymis: 0.4","Not detected",NA,NA
"AMTN",139,"A11","IOH59735",630,"0",NA,"amelotin (AMTN), mRNA.","NM_212557.2","NP_997722.1",401138,"Hs.453069","RSTI689, UNQ689","ENSG00000187689","Amelotin","4","70518540-70532742","Predicted secreted proteins","Evidence at protein level","HPA036136, HPA036137","Uncertain",NA,NA,NA,NA,"Group enriched","Tissue enhanced",NA,"stomach: 6.9;tonsil: 24.9","prostate: 3.3","Cell line enhanced",NA,"hTERT-HME1: 3.4;MCF7: 2.6"
"AMY1B",93,"F4","IOH40716",1536,"0",NA,"amylase, alpha 1B (salivary) (AMY1B), mRNA.","NM_001008218.1","NP_001008219.1",277,"Hs.599274","AMY1","ENSG00000174876","Amylase, alpha 1B (salivary)","1","103687415-103696680","Enzymes, Predicted secreted proteins","Evidence at protein level","HPA045394, HPA045399, HPA046980","Supported",NA,NA,NA,NA,"Tissue enhanced","Tissue enriched",15,"salivary gland: 1841.0","cervix, uterine: 126.4","Not detected",NA,NA
"AMY2A",73,"F1","IOH7158",1536,"0",NA,"amylase, alpha 2A (pancreatic) (AMY2A), mRNA.","NM_000699.2","NP_000690.1",279,"Hs.654437","AMY2","ENSG00000243480","Amylase, alpha 2A (pancreatic)","1","103616811-103625780","Enzymes, FDA approved drug targets, Predicted secreted proteins","Evidence at protein level","HPA045394, HPA045399, CAB045960, HPA046980","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",313,"pancreas: 31329.4","ovary: 99.9","Not detected",NA,NA
"AMY2B",46,"A4","IOH10274",1536,"0",NA,"amylase, alpha 2B (pancreatic) (AMY2B), mRNA.","NM_020978.3","NP_066188.1",280,"Hs.484588","AMY2","ENSG00000240038","Amylase, alpha 2B (pancreatic)","1","103553815-103579534","Enzymes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA045394, HPA045399, HPA046980","Supported",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",66,"pancreas: 6585.9","salivary gland: 99.6","Cell line enhanced",NA,"EFO-21: 9.6"
"ANG",65,"B6","IOH29453",444,"0",NA,"angiogenin, ribonuclease, RNase A family, 5 (ANG), transcript variant 1, mRNA.","NM_001145.4","NP_001136.1",283,"Hs.283749","RAA1, RNASE5","ENSG00000214274","Angiogenin","14","20684177-20698971","Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Liver cancer:7.83e-5 (favourable), Endometrial cancer:6.85e-4 (favourable)","Tissue enriched","Tissue enriched",27,"liver: 1565.4","stomach: 57.0","Cell line enriched",5,"Hep G2: 105.0"
"ANG",147,"G1","IOH62862",444,"0",NA,"angiogenin, ribonuclease, RNase A family, 5, mRNA (cDNA clone MGC:71966 IMAGE:4716820), complete cds","BC062698.1","AAH62698.1",283,"Hs.283749","RAA1, RNASE5","ENSG00000214274","Angiogenin","14","20684177-20698971","Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Liver cancer:7.83e-5 (favourable), Endometrial cancer:6.85e-4 (favourable)","Tissue enriched","Tissue enriched",27,"liver: 1565.4","stomach: 57.0","Cell line enriched",5,"Hep G2: 105.0"
"ANGPT1",137,"A4","IOH52109",1497,"0",NA,"angiopoietin 1 (ANGPT1), mRNA.","NM_001146.3","NP_001137.2",284,"Hs.369675","Ang1, KIAA0003","ENSG00000154188","Angiopoietin 1","8","107249482-107498055","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins","Evidence at protein level","CAB017815, HPA018793, HPA018816","Enhanced",NA,NA,NA,"Renal cancer:4.40e-4 (favourable)","Mixed","Tissue enhanced",NA,"seminal vesicle: 46.2","lung: 32.9","Cell line enhanced",NA,"ASC diff: 60.0;HEL: 46.9;HSkMC: 105.6;U-138 MG: 70.1;WM-115: 46.8"
"ANGPT1",86,"H11","IOH23195",444,"0",NA,"angiopoietin 1, mRNA (cDNA clone IMAGE:4805448), complete cds.","BC029406.1","AAH29406.1",284,"Hs.369675","Ang1, KIAA0003","ENSG00000154188","Angiopoietin 1","8","107249482-107498055","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins","Evidence at protein level","CAB017815, HPA018793, HPA018816","Enhanced",NA,NA,NA,"Renal cancer:4.40e-4 (favourable)","Mixed","Tissue enhanced",NA,"seminal vesicle: 46.2","lung: 32.9","Cell line enhanced",NA,"ASC diff: 60.0;HEL: 46.9;HSkMC: 105.6;U-138 MG: 70.1;WM-115: 46.8"
"ANGPTL2",68,"F6","IOH10555",1482,"0",NA,"angiopoietin-like 2 (ANGPTL2), mRNA.","NM_012098.2","NP_036230.1",23452,"Hs.653262","ARP2, HARP","ENSG00000136859","Angiopoietin like 2","9","127087332-127122883","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA040933, HPA041299","Approved",NA,"Approved","Golgi apparatus","Renal cancer:3.32e-5 (unfavourable)","Expressed in all","Mixed",NA,NA,"adipose tissue: 114.9","Cell line enhanced",NA,"ASC diff: 96.3;ASC TERT1: 66.5;BJ hTERT+: 165.9;HSkMC: 70.1"
"ANGPTL3",63,"B9","IOH29442",1383,"0",NA,"angiopoietin-like 3 (ANGPTL3), mRNA.","NM_014495.2","NP_055310.1",27329,"Hs.209153","ANGPT5","ENSG00000132855","Angiopoietin like 3","1","62597487-62606159","Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA038097","Approved",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",6,"liver: 356.4","kidney: 55.7","Not detected",NA,NA
"ANGPTL4",61,"D2","IOH27952",1221,"0",NA,"angiopoietin-like 4 (ANGPTL4), transcript variant 1, mRNA.","NM_139314.1","NP_647475.1",51129,"Hs.9613","ARP4, FIAF, HFARP, NL2, PGAR, pp1158","ENSG00000167772","Angiopoietin like 4","19","8363289-8374373","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA007879, CAB033770","Approved",NA,"Approved","Nucleoplasm<br>Vesicles","Renal cancer:1.34e-5 (unfavourable), Colorectal cancer:7.53e-4 (unfavourable), Lung cancer:9.50e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"adipose tissue: 78.7","liver: 43.2","Cell line enhanced",NA,"HBEC3-KT: 161.5;TIME: 92.8;U-138 MG: 64.0"
"ANGPTL5",56,"C10","IOH26886",1167,"0",NA,"angiopoietin-like 5, mRNA (cDNA clone MGC:57467 IMAGE:5285447), complete cds","BC049170.1","AAH49170.1",253935,"Hs.318370",NA,"ENSG00000187151","Angiopoietin like 5","11","101890674-101916522","Predicted secreted proteins","Evidence at protein level","HPA038516","Uncertain",NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"ovary: 27.1","breast: 7.2","Cell line enhanced",NA,"ASC diff: 1.8"
"ANGPTL7",53,"C10","IOH4956",1041,"0",NA,"angiopoietin-like 7 (ANGPTL7), mRNA.","NM_021146.2","NP_066969.1",10218,"Hs.146559","AngX, CDT6","ENSG00000171819","Angiopoietin like 7","1","11189341-11195981","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Tissue enriched","Tissue enhanced",NA,"seminal vesicle: 9.3","gallbladder: 5.8","Cell line enriched",434,"SCLC-21H: 48.4"
"ANK1",38,"B7","IOH23131",468,"0",NA,"ankyrin 1, erythrocytic, mRNA (cDNA clone IMAGE:4245014), complete cds.","BC030957.1","AAH30957.1",286,"Hs.654438","ANK, SPH1","ENSG00000029534","Ankyrin 1","8","41653220-41896762","Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA004842, HPA056953","Supported",NA,NA,NA,NA,"Mixed","Tissue enriched",5,"skeletal muscle: 348.3","heart muscle: 63.9","Group enriched",5,"HEL: 84.7;K-562: 96.3;RH-30: 157.8"
"ANKDD1A",152,"C3","IOH63557",1272,"0",NA,"ankyrin repeat and death domain containing 1A, mRNA (cDNA clone MGC:120306 IMAGE:40024168), complete cds","BC101274.1","AAI01275.1",348094,"Hs.207157","FLJ25870","ENSG00000166839","Ankyrin repeat and death domain containing 1A","15","64911902-64958700","Predicted intracellular proteins, Predicted secreted proteins","Evidence at transcript level","HPA040757","Approved",NA,"Approved","Nucleoplasm",NA,"Mixed","Mixed",NA,NA,"spleen: 15.0","Cell line enhanced",NA,"Karpas-707: 17.4;RT4: 14.8;U-266/84: 17.5"
"ANKDD1A",152,"B3","IOH63556",1200,"0",NA,"ankyrin repeat and death domain containing 1A, mRNA (cDNA clone MGC:120305 IMAGE:40024165), complete cds","BC101273.1","AAI01274.1",348094,"Hs.207157","FLJ25870","ENSG00000166839","Ankyrin repeat and death domain containing 1A","15","64911902-64958700","Predicted intracellular proteins, Predicted secreted proteins","Evidence at transcript level","HPA040757","Approved",NA,"Approved","Nucleoplasm",NA,"Mixed","Mixed",NA,NA,"spleen: 15.0","Cell line enhanced",NA,"Karpas-707: 17.4;RT4: 14.8;U-266/84: 17.5"
"ANKDD1A",152,"E3","IOH63562",1272,"0",NA,"ankyrin repeat and death domain containing 1A, mRNA (cDNA clone MGC:120307 IMAGE:40024170), complete cds","BC101275.1","AAI01276.1",348094,"Hs.207157","FLJ25870","ENSG00000166839","Ankyrin repeat and death domain containing 1A","15","64911902-64958700","Predicted intracellular proteins, Predicted secreted proteins","Evidence at transcript level","HPA040757","Approved",NA,"Approved","Nucleoplasm",NA,"Mixed","Mixed",NA,NA,"spleen: 15.0","Cell line enhanced",NA,"Karpas-707: 17.4;RT4: 14.8;U-266/84: 17.5"
"ANKRD54",116,"G12","IOH12507",903,"0",NA,"ankyrin repeat domain 54 (ANKRD54), mRNA.","NM_138797.1","NP_620152.1",129138,"Hs.135259","LIAR","ENSG00000100124","Ankyrin repeat domain 54","22","37830855-37849327","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA071287","Approved",NA,"Approved","Nucleoplasm<br>Microtubules<br>Midbody","Endometrial cancer:7.38e-5 (favourable), Cervical cancer:2.06e-4 (favourable), Pancreatic cancer:6.16e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"fallopian tube: 35.8","Expressed in all",NA,NA
"ANKRD54",148,"A1","IOH61483",903,"0",NA,"ankyrin repeat domain 54, mRNA (cDNA clone MGC:87097 IMAGE:4795922), complete cds","BC066909.1","AAH66909.1",129138,"Hs.135259","LIAR","ENSG00000100124","Ankyrin repeat domain 54","22","37830855-37849327","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA071287","Approved",NA,"Approved","Nucleoplasm<br>Microtubules<br>Midbody","Endometrial cancer:7.38e-5 (favourable), Cervical cancer:2.06e-4 (favourable), Pancreatic cancer:6.16e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"fallopian tube: 35.8","Expressed in all",NA,NA
"ANTXR1",8,"B8","IOH12656",1002,"NP_115584.1","NP_060623.2","anthrax toxin receptor 1 (ANTXR1), transcript variant 3, mRNA.","NM_018153.3","NP_060623.2",84168,"Hs.165859","ATR, FLJ10601, FLJ21776, TEM8","ENSG00000169604","Anthrax toxin receptor 1","2","69013178-69249327","Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA054785",NA,NA,"Uncertain","Vesicles","Thyroid cancer:1.22e-5 (unfavourable), Cervical cancer:5.76e-4 (unfavourable)","Expressed in all","Mixed",NA,NA,"gallbladder: 180.5","Cell line enhanced",NA,"LHCN-M2: 286.7"
